record_id,user_id,station_id,charge_start_time,charge_end_time,duration_minutes,energy_kwh,cost_yuan,payment_method,start_soc,end_soc
REC000106,U00200,1842,2024-01-10 01:00:00,2024-01-10 02:25:00,85,9.92,11.9,信用卡,14,91
REC000107,U00243,242,2024-01-12 11:20:00,2024-01-12 12:32:00,72,8.4,10.08,信用卡,10,90
REC000108,U00423,1459,2024-01-29 11:55:00,2024-01-29 14:13:00,138,16.1,19.32,信用卡,14,88
REC000109,U00249,1311,2024-01-15 13:09:00,2024-01-15 15:58:00,169,338,608.4,信用卡,16,100
REC000110,U00491,771,2024-01-28 10:43:00,2024-01-28 13:32:00,169,338,608.4,微信支付,19,81
REC000111,U00269,799,2024-01-24 04:38:00,2024-01-24 06:05:00,87,696,1740,微信支付,22,93
REC000112,U00153,45,2024-01-13 03:04:00,2024-01-13 04:11:00,67,536,1340,微信支付,19,80
REC000113,U00334,119,2024-01-30 13:24:00,2024-01-30 15:26:00,122,244,439.2,微信支付,21,94
REC000114,U00229,605,2024-01-29 17:38:00,2024-01-29 19:30:00,112,896,2240,信用卡,15,99
REC000115,U00389,1820,2024-01-15 13:04:00,2024-01-15 13:46:00,42,336,840,支付宝,24,88
REC000116,U00362,811,2024-01-28 20:30:00,2024-01-28 22:41:00,131,1048,2620,支付宝,15,98
REC000117,U00166,527,2024-01-02 00:31:00,2024-01-02 01:17:00,46,5.37,6.44,微信支付,20,97
REC000118,U00189,1955,2024-01-07 16:49:00,2024-01-07 18:24:00,95,760,1900,信用卡,22,97
REC000119,U00322,105,2024-01-21 00:19:00,2024-01-21 03:19:00,180,1440,3600,支付宝,22,85
REC000120,U00314,1338,2024-01-02 19:43:00,2024-01-02 22:42:00,179,358,644.4,支付宝,20,98
REC000121,U00021,2329,2024-01-24 12:55:00,2024-01-24 13:24:00,29,232,580,信用卡,14,95
REC000122,U00475,262,2024-01-04 08:09:00,2024-01-04 08:59:00,50,400,1000,微信支付,13,96
REC000123,U00482,670,2024-01-11 22:41:00,2024-01-11 23:19:00,38,76,136.8,支付宝,21,90
REC000124,U00212,333,2024-01-16 21:16:00,2024-01-16 21:48:00,32,3.73,4.48,支付宝,22,97
REC000125,U00269,255,2024-01-20 04:46:00,2024-01-20 07:45:00,179,1432,3580,支付宝,14,97
REC000126,U00417,367,2024-01-10 16:22:00,2024-01-10 18:31:00,129,1032,2580,微信支付,13,88
REC000127,U00123,932,2024-01-03 19:43:00,2024-01-03 22:43:00,180,21,25.2,信用卡,27,80
REC000128,U00330,215,2024-01-11 12:19:00,2024-01-11 14:36:00,137,1096,2740,微信支付,11,87
REC000129,U00487,953,2024-01-08 04:42:00,2024-01-08 05:32:00,50,100,180,信用卡,20,90
REC000130,U00388,1588,2024-01-30 02:51:00,2024-01-30 04:47:00,116,13.53,16.24,微信支付,26,89
REC000131,U00013,2017,2024-01-20 03:13:00,2024-01-20 05:48:00,155,18.08,21.7,微信支付,11,86
REC000132,U00107,148,2024-01-11 16:40:00,2024-01-11 19:24:00,164,1312,3280,支付宝,10,91
REC000133,U00298,331,2024-01-18 00:04:00,2024-01-18 02:29:00,145,16.92,20.3,微信支付,22,86
REC000134,U00275,624,2024-01-01 14:01:00,2024-01-01 16:56:00,175,20.42,24.5,信用卡,29,89
REC000135,U00285,1089,2024-01-18 06:50:00,2024-01-18 09:15:00,145,290,522,支付宝,15,86
REC000136,U00172,1050,2024-01-10 03:50:00,2024-01-10 05:28:00,98,11.43,13.72,支付宝,22,83
REC000137,U00232,1169,2024-01-02 13:28:00,2024-01-02 15:37:00,129,15.05,18.06,信用卡,30,96
REC000138,U00105,1662,2024-01-09 15:53:00,2024-01-09 16:36:00,43,5.02,6.02,微信支付,22,83
REC000139,U00103,843,2024-01-27 04:49:00,2024-01-27 06:20:00,91,728,1820,信用卡,16,98
REC000140,U00185,1243,2024-01-22 08:34:00,2024-01-22 09:02:00,28,224,560,信用卡,30,87
REC000141,U00456,2322,2024-01-12 17:36:00,2024-01-12 18:46:00,70,140,252,信用卡,10,89
REC000142,U00111,51,2024-01-09 11:36:00,2024-01-09 13:16:00,100,800,2000,微信支付,25,92
REC000143,U00235,1341,2024-01-19 00:48:00,2024-01-19 03:37:00,169,19.72,23.66,微信支付,25,95
REC000144,U00306,2298,2024-01-14 05:40:00,2024-01-14 06:58:00,78,9.1,10.92,微信支付,29,83
REC000145,U00437,2,2024-01-02 16:04:00,2024-01-02 18:57:00,173,1384,3460,微信支付,10,88
REC000146,U00156,1,2024-01-21 12:07:00,2024-01-21 13:59:00,112,13.07,15.68,信用卡,28,85
REC000147,U00028,399,2024-01-18 00:00:00,2024-01-18 01:10:00,70,140,252,信用卡,16,93
REC000148,U00039,1528,2024-01-13 23:48:00,2024-01-14 01:49:00,121,242,435.6,信用卡,10,89
REC000149,U00461,144,2024-01-06 17:09:00,2024-01-06 18:41:00,92,10.73,12.88,微信支付,18,94
REC000150,U00062,839,2024-01-30 05:27:00,2024-01-30 05:49:00,22,176,440,支付宝,15,80
REC000151,U00045,462,2024-01-11 22:28:00,2024-01-12 00:39:00,131,1048,2620,信用卡,27,88
REC000152,U00012,1107,2024-01-26 21:11:00,2024-01-26 23:28:00,137,1096,2740,微信支付,14,86
REC000153,U00204,267,2024-01-18 10:14:00,2024-01-18 10:36:00,22,44,79.2,微信支付,25,93
REC000154,U00212,1908,2024-01-09 05:10:00,2024-01-09 05:28:00,18,144,360,信用卡,11,82
REC000155,U00364,1151,2024-01-14 01:32:00,2024-01-14 03:49:00,137,15.98,19.18,微信支付,18,80
REC000156,U00494,1114,2024-01-09 19:25:00,2024-01-09 20:40:00,75,600,1500,信用卡,24,80
REC000157,U00448,181,2024-01-26 21:10:00,2024-01-26 23:16:00,126,1008,2520,信用卡,25,87
REC000158,U00147,194,2024-01-17 19:37:00,2024-01-17 20:14:00,37,4.32,5.18,信用卡,21,94
REC000159,U00279,1936,2024-01-08 17:01:00,2024-01-08 18:51:00,110,880,2200,信用卡,21,97
REC000160,U00075,2215,2024-01-15 20:18:00,2024-01-15 23:16:00,178,1424,3560,支付宝,23,85
REC000161,U00206,2377,2024-01-18 04:26:00,2024-01-18 06:40:00,134,1072,2680,支付宝,19,84
REC000162,U00346,2026,2024-01-25 22:18:00,2024-01-26 00:17:00,119,238,428.4,支付宝,23,82
REC000163,U00454,1038,2024-01-07 12:20:00,2024-01-07 14:00:00,100,200,360,支付宝,30,94
REC000164,U00386,1847,2024-01-25 18:57:00,2024-01-25 19:54:00,57,6.65,7.98,微信支付,20,96
REC000165,U00307,595,2024-01-16 19:10:00,2024-01-16 21:43:00,153,306,550.8,信用卡,15,98
REC000166,U00418,572,2024-01-10 14:48:00,2024-01-10 16:44:00,116,13.53,16.24,微信支付,23,83
REC000167,U00279,2054,2024-01-03 03:51:00,2024-01-03 06:19:00,148,17.27,20.72,微信支付,28,80
REC000168,U00479,1044,2024-01-26 07:14:00,2024-01-26 08:11:00,57,456,1140,信用卡,17,90
REC000169,U00060,2004,2024-01-16 01:31:00,2024-01-16 03:21:00,110,880,2200,信用卡,22,96
REC000170,U00113,1609,2024-01-27 12:15:00,2024-01-27 13:59:00,104,208,374.4,信用卡,23,83
REC000171,U00328,925,2024-01-30 13:18:00,2024-01-30 15:29:00,131,1048,2620,微信支付,16,80
REC000172,U00410,2067,2024-01-06 03:44:00,2024-01-06 06:05:00,141,1128,2820,微信支付,12,89
REC000173,U00387,991,2024-01-19 17:35:00,2024-01-19 19:07:00,92,736,1840,微信支付,27,100
REC000174,U00488,396,2024-01-09 22:37:00,2024-01-09 22:58:00,21,2.45,2.94,微信支付,10,89
REC000175,U00107,496,2024-01-09 16:50:00,2024-01-09 17:23:00,33,3.85,4.62,微信支付,18,94
REC000176,U00217,488,2024-01-17 12:30:00,2024-01-17 14:28:00,118,944,2360,微信支付,29,89
REC000177,U00199,1406,2024-01-18 07:30:00,2024-01-18 08:38:00,68,544,1360,支付宝,23,99
REC000178,U00326,1960,2024-01-29 05:31:00,2024-01-29 08:17:00,166,1328,3320,微信支付,25,81
REC000179,U00164,2048,2024-01-17 05:55:00,2024-01-17 06:17:00,22,176,440,支付宝,25,92
REC000180,U00395,2208,2024-01-05 17:02:00,2024-01-05 19:05:00,123,984,2460,信用卡,28,99
REC000181,U00486,1438,2024-01-23 13:32:00,2024-01-23 13:53:00,21,2.45,2.94,支付宝,11,95
REC000182,U00244,356,2024-01-12 17:25:00,2024-01-12 19:59:00,154,17.97,21.56,微信支付,12,87
REC000183,U00233,386,2024-01-18 12:53:00,2024-01-18 14:34:00,101,11.78,14.14,微信支付,29,95
REC000184,U00166,141,2024-01-15 08:23:00,2024-01-15 10:59:00,156,1248,3120,信用卡,24,86
REC000185,U00049,1682,2024-01-01 17:14:00,2024-01-01 18:01:00,47,94,169.2,信用卡,10,96
REC000186,U00036,1821,2024-01-24 02:23:00,2024-01-24 03:24:00,61,7.12,8.54,支付宝,18,98
REC000187,U00411,1590,2024-01-25 15:05:00,2024-01-25 15:32:00,27,54,97.2,支付宝,28,83
REC000188,U00252,2117,2024-01-09 03:57:00,2024-01-09 06:07:00,130,15.17,18.2,支付宝,15,81
REC000189,U00308,1190,2024-01-16 07:59:00,2024-01-16 10:03:00,124,992,2480,微信支付,14,82
REC000190,U00247,816,2024-01-23 09:06:00,2024-01-23 10:24:00,78,624,1560,微信支付,22,100
REC000191,U00396,724,2024-01-18 09:28:00,2024-01-18 09:54:00,26,208,520,支付宝,15,87
REC000192,U00444,1393,2024-01-27 19:24:00,2024-01-27 21:45:00,141,16.45,19.74,微信支付,24,83
REC000193,U00085,416,2024-01-07 14:02:00,2024-01-07 14:50:00,48,5.6,6.72,信用卡,29,98
REC000194,U00225,97,2024-01-23 19:55:00,2024-01-23 21:43:00,108,864,2160,信用卡,23,80
REC000195,U00460,2152,2024-01-18 00:16:00,2024-01-18 03:13:00,177,1416,3540,信用卡,13,93
REC000196,U00018,1941,2024-01-13 22:38:00,2024-01-14 00:44:00,126,252,453.6,信用卡,23,82
REC000197,U00045,267,2024-01-13 05:01:00,2024-01-13 06:47:00,106,212,381.6,支付宝,22,96
REC000198,U00465,997,2024-01-07 12:12:00,2024-01-07 12:57:00,45,5.25,6.3,微信支付,15,82
REC000199,U00096,2337,2024-01-10 04:38:00,2024-01-10 06:47:00,129,258,464.4,信用卡,27,91
REC000200,U00135,2283,2024-01-22 23:58:00,2024-01-23 00:30:00,32,64,115.2,信用卡,15,98
REC000201,U00060,1693,2024-01-26 17:18:00,2024-01-26 17:43:00,25,200,500,微信支付,16,84
REC000202,U00069,1231,2024-01-19 00:45:00,2024-01-19 01:02:00,17,34,61.2,支付宝,11,96
REC000203,U00058,50,2024-01-25 02:57:00,2024-01-25 04:20:00,83,9.68,11.62,信用卡,26,80
REC000204,U00451,1243,2024-01-07 11:42:00,2024-01-07 13:18:00,96,768,1920,微信支付,25,86
REC000205,U00340,773,2024-01-22 20:33:00,2024-01-22 22:50:00,137,15.98,19.18,支付宝,16,83
REC000206,U00199,707,2024-01-26 10:03:00,2024-01-26 13:00:00,177,1416,3540,信用卡,27,82
REC000207,U00342,599,2024-01-07 00:40:00,2024-01-07 03:05:00,145,16.92,20.3,微信支付,12,95
REC000208,U00038,2103,2024-01-27 00:23:00,2024-01-27 01:20:00,57,456,1140,微信支付,30,93
REC000209,U00481,1482,2024-01-11 12:08:00,2024-01-11 13:30:00,82,9.57,11.48,支付宝,11,93
REC000210,U00446,176,2024-01-15 20:03:00,2024-01-15 21:59:00,116,928,2320,微信支付,16,91
REC000211,U00231,1601,2024-01-28 20:23:00,2024-01-28 21:35:00,72,576,1440,信用卡,14,95
REC000212,U00456,2088,2024-01-19 18:02:00,2024-01-19 21:02:00,180,360,648,信用卡,15,87
REC000213,U00148,2136,2024-01-23 21:00:00,2024-01-23 21:34:00,34,68,122.4,支付宝,29,80
REC000214,U00034,1710,2024-01-26 19:30:00,2024-01-26 20:06:00,36,4.2,5.04,信用卡,14,100
REC000215,U00190,164,2024-01-13 20:58:00,2024-01-13 22:53:00,115,230,414,支付宝,24,100
REC000216,U00156,1399,2024-01-25 14:40:00,2024-01-25 17:29:00,169,19.72,23.66,支付宝,19,95
REC000217,U00250,2095,2024-01-18 19:43:00,2024-01-18 22:28:00,165,330,594,信用卡,27,99
REC000218,U00071,2352,2024-01-22 14:37:00,2024-01-22 16:18:00,101,202,363.6,微信支付,25,90
REC000219,U00265,2183,2024-01-29 07:14:00,2024-01-29 10:10:00,176,352,633.6,微信支付,18,100
REC000220,U00479,1099,2024-01-13 14:16:00,2024-01-13 15:44:00,88,704,1760,信用卡,26,87
REC000221,U00475,1283,2024-01-16 00:04:00,2024-01-16 01:20:00,76,608,1520,信用卡,16,91
REC000222,U00099,1255,2024-01-16 11:54:00,2024-01-16 14:21:00,147,1176,2940,信用卡,23,88
REC000223,U00307,1081,2024-01-20 12:57:00,2024-01-20 14:00:00,63,504,1260,信用卡,14,89
REC000224,U00352,779,2024-01-17 16:50:00,2024-01-17 19:23:00,153,1224,3060,信用卡,20,86
REC000225,U00298,1896,2024-01-24 22:06:00,2024-01-24 23:05:00,59,118,212.4,微信支付,19,100
REC000226,U00106,1012,2024-01-28 11:19:00,2024-01-28 14:16:00,177,1416,3540,支付宝,15,100
REC000227,U00192,2036,2024-01-12 10:17:00,2024-01-12 12:12:00,115,230,414,支付宝,18,98
REC000228,U00276,1881,2024-01-16 18:53:00,2024-01-16 19:45:00,52,104,187.2,支付宝,29,82
REC000229,U00064,1035,2024-01-18 09:18:00,2024-01-18 11:53:00,155,310,558,支付宝,10,82
REC000230,U00416,774,2024-01-12 20:19:00,2024-01-12 22:40:00,141,1128,2820,支付宝,27,98
REC000231,U00262,1135,2024-01-27 01:48:00,2024-01-27 03:50:00,122,976,2440,微信支付,18,81
REC000232,U00322,1752,2024-01-23 12:43:00,2024-01-23 15:30:00,167,334,601.2,微信支付,25,93
REC000233,U00161,1585,2024-01-06 16:27:00,2024-01-06 17:17:00,50,5.83,7,微信支付,13,91
REC000234,U00022,224,2024-01-04 10:45:00,2024-01-04 12:11:00,86,688,1720,微信支付,27,97
REC000235,U00066,1100,2024-01-05 14:44:00,2024-01-05 16:47:00,123,14.35,17.22,微信支付,11,98
REC000236,U00006,246,2024-01-06 07:42:00,2024-01-06 09:23:00,101,202,363.6,信用卡,18,89
REC000237,U00124,1761,2024-01-11 17:45:00,2024-01-11 18:56:00,71,142,255.6,信用卡,29,98
REC000238,U00476,1093,2024-01-26 09:36:00,2024-01-26 11:21:00,105,840,2100,微信支付,14,80
REC000239,U00300,2268,2024-01-15 15:56:00,2024-01-15 17:07:00,71,142,255.6,微信支付,22,86
REC000240,U00316,2219,2024-01-02 01:02:00,2024-01-02 01:58:00,56,112,201.6,微信支付,28,99
REC000241,U00415,1105,2024-01-23 09:07:00,2024-01-23 09:53:00,46,368,920,微信支付,17,93
REC000242,U00124,906,2024-01-22 03:54:00,2024-01-22 06:45:00,171,1368,3420,微信支付,15,87
REC000243,U00055,1145,2024-01-01 09:27:00,2024-01-01 10:43:00,76,8.87,10.64,信用卡,19,93
REC000244,U00441,2375,2024-01-28 13:03:00,2024-01-28 14:56:00,113,904,2260,支付宝,16,87
REC000245,U00434,412,2024-01-04 23:33:00,2024-01-05 01:32:00,119,238,428.4,信用卡,24,94
REC000246,U00379,616,2024-01-18 17:56:00,2024-01-18 20:48:00,172,344,619.2,支付宝,10,97
REC000247,U00106,1113,2024-01-23 14:52:00,2024-01-23 16:58:00,126,1008,2520,信用卡,20,90
REC000248,U00256,85,2024-01-24 08:23:00,2024-01-24 11:15:00,172,20.07,24.08,支付宝,24,99
REC000249,U00191,842,2024-01-07 19:50:00,2024-01-07 20:24:00,34,272,680,信用卡,22,85
REC000250,U00107,1655,2024-01-11 04:02:00,2024-01-11 05:37:00,95,760,1900,支付宝,22,88
REC000251,U00367,1019,2024-01-14 11:29:00,2024-01-14 12:43:00,74,148,266.4,支付宝,29,95
REC000252,U00352,100,2024-01-26 21:17:00,2024-01-26 22:34:00,77,616,1540,信用卡,12,94
REC000253,U00200,90,2024-01-27 06:24:00,2024-01-27 08:07:00,103,824,2060,支付宝,22,80
REC000254,U00224,2011,2024-01-21 12:24:00,2024-01-21 14:27:00,123,246,442.8,微信支付,23,88
